"Status" "Duration" "History" "Purpose" "Amount" "Savings" "Employment" "Disposable" "Personal" "OtherParties" "Residence" "Property" "Age" "Plans" "Housing" "Existing" "Job" "Dependants" "Telephone" "Foreign" "CreditScore"
"None" 12 "C" "Television" 1963 "Low" "Long" 4 "M:Single" "None" 2 "Car" 31 "None" "Rent" 2 "Management:Self" 2 "Yes" "Yes" 685.608998625788
"Negative" 21 "E" "NewCar" 571 "Low" "VeryLong" 4 "M:Single" "None" 4 "House" 65 "None" "Own" 2 "Skilled" 1 "No" "Yes" 505.912449183986
"None" 36 "D" "Business" 9572 "Low" "Short" 1 "M:DivSepMar" "None" 1 "Car" 28 "None" "Own" 2 "Skilled" 1 "No" "Yes" 529.731304363592
"None" 24 "E" "Furniture" 3777 "VeryLarge" "Medium" 4 "M:Single" "None" 4 "House" 50 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 739.41101147021
"Small" 18 "E" "NewCar" 884 "Low" "VeryLong" 4 "M:Single" "None" 4 "Car" 36 "Bank" "Own" 1 "Skilled" 2 "Yes" "Yes" 488.093551200635
"None" 15 "E" "Television" 1360 "Low" "Medium" 4 "M:Single" "None" 2 "Savings" 31 "None" "Own" 2 "Skilled" 1 "No" "Yes" 697.987936734173
"Small" 16 "E" "NewCar" 1175 "Low" "Unemployed" 2 "M:Single" "None" 3 "Car" 68 "None" "RentFree" 3 "Unemployed" 1 "Yes" "Yes" 506.839566319711
"Negative" 12 "C" "Television" 674 "Medium" "Long" 4 "F:Single" "None" 1 "Savings" 20 "None" "Own" 1 "Skilled" 1 "No" "Yes" 585.336889881473
"Small" 18 "A" "Furniture" 3244 "Low" "Medium" 1 "F:DivSepMar" "None" 4 "Car" 33 "Bank" "Own" 2 "Skilled" 1 "Yes" "Yes" 482.590526780342
"None" 24 "C" "Business" 4591 "VeryLarge" "Medium" 2 "M:Single" "None" 3 "Savings" 54 "None" "Own" 3 "Management:Self" 1 "Yes" "Yes" 720.227130098408
"Small" 48 "A" "Business" 3844 "Medium" "Long" 4 "M:Single" "None" 4 "None" 34 "None" "RentFree" 1 "Unskilled" 2 "No" "Yes" 429.851989779581
"Small" 27 "C" "Business" 3915 "Low" "Medium" 4 "M:Single" "None" 2 "Car" 36 "None" "Own" 1 "Skilled" 2 "Yes" "Yes" 672.91381701679
"Small" 45 "C" "Television" 3031 "Medium" "Medium" 4 "M:Single" "Guarantor" 4 "Savings" 21 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 492.995749748444
"Small" 9 "E" "Education" 1501 "Low" "VeryLong" 2 "F:DivSepMar" "None" 3 "Car" 34 "None" "Own" 2 "Management:Self" 1 "Yes" "Yes" 587.022090817196
"None" 6 "E" "Television" 1382 "Low" "Medium" 1 "F:DivSepMar" "None" 1 "Car" 28 "None" "Own" 2 "Skilled" 1 "Yes" "Yes" 587.867590659968
"Small" 12 "C" "Furniture" 951 "Medium" "Short" 4 "F:DivSepMar" "None" 4 "Car" 27 "Bank" "Rent" 4 "Skilled" 1 "No" "Yes" 563.617639721891
"Negative" 12 "C" "NewCar" 1168 "Low" "Medium" 4 "F:Single" "None" 3 "House" 27 "None" "Own" 1 "Unskilled" 1 "No" "Yes" 439.755121948022
"None" 27 "D" "Business" 5117 "Low" "Long" 3 "M:Single" "None" 4 "Car" 26 "None" "Own" 2 "Skilled" 1 "No" "Yes" 662.52876063979
"None" 12 "E" "NewCar" 1495 "Low" "VeryLong" 4 "M:Single" "None" 1 "House" 38 "None" "Own" 2 "Unskilled" 2 "No" "Yes" 621.327625260261
"Negative" 30 "E" "UsedCar" 10623 "Low" "VeryLong" 3 "M:Single" "None" 4 "None" 38 "None" "RentFree" 3 "Management:Self" 2 "Yes" "Yes" 478.677567051198
"Small" 12 "E" "Domestic" 1424 "Low" "Long" 4 "M:Single" "None" 3 "Savings" 26 "None" "Own" 1 "Skilled" 1 "No" "Yes" 634.272985718095
"Negative" 24 "C" "Business" 6568 "Low" "Medium" 2 "F:Single" "None" 2 "Car" 21 "Stores" "Own" 1 "Unskilled" 1 "No" "Yes" 446.694578683452
"None" 12 "C" "UsedCar" 1413 "VeryLarge" "Long" 3 "M:Single" "None" 2 "Savings" 55 "None" "Own" 1 "Skilled" 1 "No" "No" 866.410778021386
"None" 36 "C" "Television" 3835 "Unknown" "VeryLong" 2 "F:DivSepMar" "None" 4 "House" 45 "None" "Own" 1 "Unskilled" 1 "Yes" "Yes" 719.921286977891
"Negative" 27 "A" "Business" 5293 "Low" "Unemployed" 2 "M:Single" "None" 4 "Savings" 50 "Stores" "Own" 2 "Skilled" 1 "Yes" "Yes" 523.984010929592
"Large" 30 "D" "Business" 1908 "Low" "VeryLong" 4 "M:Single" "None" 4 "House" 66 "None" "Own" 1 "Management:Self" 1 "Yes" "Yes" 598.186709037891
"None" 36 "E" "Television" 3342 "Unknown" "VeryLong" 4 "M:Single" "None" 2 "Car" 51 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 660.969253050341
"Small" 6 "E" "Training" 932 "Unknown" "Long" 1 "F:DivSepMar" "None" 3 "Savings" 39 "None" "Own" 2 "Unskilled" 1 "No" "Yes" 748.924152507657
"Negative" 18 "A" "Business" 3104 "Low" "Long" 3 "M:Single" "None" 1 "Savings" 31 "Bank" "Own" 1 "Skilled" 1 "Yes" "Yes" 482.970834710124
"Large" 36 "C" "Television" 3913 "Low" "Medium" 2 "M:Single" "None" 2 "House" 23 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 578.883568531883
"Negative" 24 "C" "Furniture" 3021 "Low" "Medium" 2 "M:DivSepMar" "None" 2 "House" 24 "None" "Rent" 1 "Unskilled" 1 "No" "Yes" 455.695488472244
"None" 10 "C" "NewCar" 1364 "Low" "Medium" 2 "F:DivSepMar" "None" 4 "Car" 64 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 558.497931226178
"Small" 12 "C" "Television" 625 "Low" "Short" 4 "F:Single" "Guarantor" 1 "House" 26 "Bank" "Own" 1 "Unskilled" 1 "No" "Yes" 604.046221163299
"Negative" 12 "C" "Education" 1200 "Unknown" "Medium" 4 "F:DivSepMar" "None" 4 "Savings" 23 "Bank" "Rent" 1 "Skilled" 1 "Yes" "Yes" 413.54207095077
"None" 12 "C" "Television" 707 "Low" "Medium" 4 "M:Single" "None" 2 "House" 30 "Bank" "Own" 2 "Skilled" 1 "No" "Yes" 696.423901202733
"None" 24 "D" "Business" 2978 "Unknown" "Medium" 4 "M:Single" "None" 4 "House" 32 "None" "Own" 2 "Skilled" 2 "Yes" "Yes" 753.326461136873
"None" 15 "C" "UsedCar" 4657 "Low" "Medium" 3 "M:Single" "None" 2 "Car" 30 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 765.256938226895
"Small" 48 "C" "Television" 10961 "VeryLarge" "Long" 1 "M:Single" "Coapp" 2 "None" 27 "Bank" "Own" 2 "Skilled" 1 "Yes" "Yes" 496.479334044647
"Negative" 12 "C" "Furniture" 7865 "Low" "VeryLong" 4 "M:Single" "None" 4 "None" 53 "None" "RentFree" 1 "Management:Self" 1 "Yes" "Yes" 544.106267628472
"None" 9 "C" "Television" 1478 "Low" "Long" 4 "M:Single" "None" 2 "Car" 22 "None" "Own" 1 "Skilled" 1 "No" "Yes" 633.389160504503
"Negative" 24 "C" "Furniture" 3149 "Low" "Short" 4 "M:Single" "None" 1 "None" 22 "Bank" "RentFree" 1 "Skilled" 1 "No" "Yes" 408.51908253677
"Large" 36 "C" "Television" 4210 "Low" "Medium" 4 "M:Single" "None" 2 "Car" 26 "None" "Own" 1 "Skilled" 1 "No" "Yes" 543.785175288888
"None" 9 "C" "NewCar" 2507 "Large" "VeryLong" 2 "M:Single" "None" 4 "None" 51 "None" "RentFree" 1 "Unskilled" 1 "No" "Yes" 706.325325062193
"None" 12 "C" "Television" 2141 "Medium" "Long" 3 "M:Single" "None" 1 "None" 35 "None" "Own" 1 "Skilled" 1 "No" "Yes" 608.955945609511
"Small" 18 "C" "Television" 866 "Low" "Medium" 4 "F:Single" "Guarantor" 2 "House" 25 "None" "Own" 1 "Unskilled" 1 "No" "Yes" 588.89365622549
"Negative" 24 "C" "Television" 1823 "Low" "Unemployed" 4 "M:Single" "None" 2 "Car" 30 "Stores" "Own" 1 "Management:Self" 2 "No" "Yes" 445.345218609333
"Small" 6 "C" "NewCar" 14555 "Unknown" "Unemployed" 1 "M:Single" "None" 2 "Savings" 23 "None" "Own" 1 "Unemployed" 1 "Yes" "Yes" 554.83044205566
"Small" 21 "C" "Business" 2767 "Medium" "VeryLong" 4 "M:DivSepMar" "None" 2 "Car" 61 "Bank" "Rent" 2 "Unskilled" 1 "No" "Yes" 448.915226212762
"None" 12 "E" "Television" 1291 "Low" "Medium" 4 "F:DivSepMar" "None" 2 "Savings" 35 "None" "Own" 2 "Skilled" 1 "No" "Yes" 537.813552215926
"Negative" 24 "C" "NewCar" 915 "Unknown" "VeryLong" 4 "F:DivSepMar" "None" 2 "Car" 29 "Bank" "Own" 1 "Skilled" 1 "No" "Yes" 442.178954234873
"None" 6 "C" "Television" 1595 "Low" "Long" 3 "M:Single" "None" 2 "Savings" 51 "None" "Own" 1 "Skilled" 2 "No" "Yes" 638.797825745798
"Negative" 48 "A" "UsedCar" 4605 "Low" "VeryLong" 3 "M:Single" "None" 4 "None" 24 "None" "RentFree" 2 "Skilled" 2 "No" "Yes" 577.696696495718
"None" 12 "E" "Business" 1185 "Low" "Medium" 3 "F:DivSepMar" "None" 2 "House" 27 "None" "Own" 2 "Skilled" 1 "No" "Yes" 653.95675942333
"None" 12 "B" "Training" 3447 "Large" "Medium" 4 "F:DivSepMar" "None" 3 "House" 35 "None" "Own" 1 "Unskilled" 2 "No" "Yes" 655.365948961587
"None" 24 "C" "Business" 1258 "Low" "Long" 4 "M:Single" "None" 1 "House" 25 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 615.792703126909
"None" 12 "E" "Television" 717 "Low" "VeryLong" 4 "M:Single" "None" 4 "House" 52 "None" "Own" 3 "Skilled" 1 "No" "Yes" 736.405017681866
"None" 6 "A" "NewCar" 1204 "Medium" "Medium" 4 "M:Single" "None" 1 "None" 35 "Bank" "Rent" 1 "Skilled" 1 "No" "No" 648.21590233899
"Large" 24 "C" "Furniture" 1925 "Low" "Medium" 2 "M:Single" "None" 2 "House" 26 "None" "Own" 1 "Skilled" 1 "No" "Yes" 506.584486344634
"None" 18 "C" "Television" 433 "Low" "Unemployed" 3 "F:DivSepMar" "Coapp" 4 "House" 22 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 529.65555733928
"Negative" 6 "E" "NewCar" 666 "VeryLarge" "Long" 3 "F:DivSepMar" "None" 4 "House" 39 "None" "Own" 2 "Unskilled" 1 "Yes" "Yes" 632.497014870221
"Small" 30 "C" "NewCar" 2150 "Low" "Medium" 4 "F:DivSepMar" "Guarantor" 2 "None" 24 "Bank" "Own" 1 "Skilled" 1 "No" "Yes" 517.259626288826
"None" 24 "D" "Furniture" 4151 "Medium" "Medium" 2 "M:Single" "None" 3 "Savings" 35 "None" "Own" 2 "Skilled" 1 "No" "Yes" 606.538903434364
"Small" 9 "C" "Furniture" 2030 "Unknown" "Long" 2 "M:Single" "None" 1 "Car" 24 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 583.070679257522
"Small" 60 "D" "Television" 7418 "Unknown" "Medium" 1 "M:Single" "None" 1 "House" 27 "None" "Own" 1 "Unskilled" 1 "No" "Yes" 518.105831968745
"None" 24 "E" "Television" 2684 "Low" "Medium" 4 "M:Single" "None" 2 "House" 35 "None" "Own" 2 "Unskilled" 1 "No" "Yes" 640.173354016851
"None" 15 "C" "UsedCar" 3812 "Medium" "Short" 1 "F:DivSepMar" "None" 4 "Car" 23 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 664.352575314063
"Negative" 24 "C" "Television" 1603 "Low" "VeryLong" 4 "F:DivSepMar" "None" 4 "Car" 55 "None" "Own" 1 "Skilled" 1 "No" "Yes" 520.91840181454
"Negative" 18 "E" "NewCar" 5302 "Low" "VeryLong" 2 "M:Single" "None" 4 "None" 36 "None" "RentFree" 3 "Management:Self" 1 "Yes" "Yes" 545.897141212323
"None" 12 "E" "Education" 2748 "Low" "VeryLong" 2 "F:DivSepMar" "None" 4 "None" 57 "Bank" "RentFree" 3 "Unskilled" 1 "No" "Yes" 610.789200887083
"None" 10 "E" "NewCar" 1231 "Low" "VeryLong" 3 "M:Single" "None" 4 "House" 32 "None" "Own" 2 "Unskilled" 2 "No" "No" 640.434554417853
"None" 36 "E" "Business" 6304 "Unknown" "VeryLong" 4 "M:Single" "None" 4 "House" 36 "None" "Own" 2 "Skilled" 1 "No" "Yes" 609.628184864793
"None" 24 "C" "Television" 1533 "Low" "Short" 4 "F:DivSepMar" "None" 3 "Car" 38 "Stores" "Own" 1 "Skilled" 1 "Yes" "Yes" 672.63459200452
"Negative" 14 "C" "NewCar" 8978 "Low" "VeryLong" 1 "M:DivSepMar" "None" 4 "Savings" 45 "None" "Own" 1 "Management:Self" 1 "Yes" "No" 505.234756608003
"None" 24 "C" "Television" 999 "Unknown" "VeryLong" 4 "M:Single" "None" 2 "Car" 25 "None" "Own" 2 "Skilled" 1 "No" "Yes" 687.145566349346
"None" 18 "C" "NewCar" 2662 "Unknown" "Long" 4 "M:Single" "None" 3 "Savings" 32 "None" "Own" 1 "Skilled" 1 "No" "No" 703.888199145582
"None" 12 "E" "Furniture" 1402 "Large" "Long" 3 "F:DivSepMar" "None" 4 "Car" 37 "None" "Rent" 1 "Skilled" 1 "Yes" "Yes" 665.528976198147
"Small" 48 "C" "Television" 3060 "Low" "Long" 4 "M:Single" "None" 4 "House" 28 "None" "Own" 2 "Skilled" 1 "No" "Yes" 467.957723606831
"Negative" 30 "C" "Repairs" 11998 "Low" "Short" 1 "M:DivSepMar" "None" 1 "None" 34 "None" "Own" 1 "Unskilled" 1 "Yes" "Yes" 528.724202199078
"None" 9 "C" "Television" 2697 "Low" "Medium" 1 "M:Single" "None" 2 "House" 32 "None" "Own" 1 "Skilled" 2 "No" "Yes" 717.192975663729
"None" 18 "E" "Television" 2404 "Low" "Medium" 2 "F:DivSepMar" "None" 2 "Car" 26 "None" "Own" 2 "Skilled" 1 "No" "Yes" 697.017020584243
"None" 6 "C" "Furniture" 4611 "Low" "Short" 1 "F:DivSepMar" "None" 4 "Savings" 32 "None" "Own" 1 "Skilled" 1 "No" "Yes" 715.729966471014
"None" 24 "C" "Television" 1901 "Medium" "Medium" 4 "M:Single" "None" 4 "Car" 29 "None" "Rent" 1 "Management:Self" 1 "Yes" "Yes" 572.90281605371
"None" 15 "E" "UsedCar" 3368 "VeryLarge" "VeryLong" 3 "M:Single" "None" 4 "None" 23 "None" "Rent" 2 "Skilled" 1 "Yes" "Yes" 796.808391164112
"None" 12 "C" "Furniture" 1574 "Low" "Medium" 4 "M:Single" "None" 2 "House" 50 "None" "Own" 1 "Skilled" 1 "No" "Yes" 604.539466057867
"Large" 18 "B" "Television" 1445 "Unknown" "Long" 4 "M:Single" "None" 4 "Car" 49 "Bank" "Own" 1 "Unskilled" 1 "No" "Yes" 517.317314937834
"None" 15 "E" "Furniture" 1520 "Unknown" "VeryLong" 4 "M:Single" "None" 4 "Savings" 63 "None" "Own" 1 "Skilled" 1 "No" "Yes" 788.479343826443
"Small" 24 "E" "NewCar" 3878 "Medium" "Short" 4 "M:DivSepMar" "None" 2 "Car" 37 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 629.551698433105
"Negative" 47 "C" "NewCar" 10722 "Low" "Short" 1 "F:DivSepMar" "None" 1 "House" 35 "None" "Own" 1 "Unskilled" 1 "Yes" "Yes" 481.544263190098
"Negative" 48 "C" "UsedCar" 4788 "Low" "Long" 4 "M:Single" "None" 3 "Savings" 26 "None" "Own" 1 "Skilled" 2 "No" "Yes" 478.260385058403
"Small" 48 "D" "Other" 7582 "Medium" "Unemployed" 2 "M:Single" "None" 4 "None" 31 "None" "RentFree" 1 "Management:Self" 1 "Yes" "Yes" 541.634609341366
"Negative" 24 "D" "Television" 1024 "Low" "Short" 4 "F:Single" "None" 4 "House" 48 "Stores" "Own" 1 "Skilled" 1 "No" "Yes" 536.808208548011
"None" 12 "C" "Business" 1076 "Low" "Medium" 2 "F:Single" "None" 2 "House" 26 "None" "Own" 1 "Skilled" 1 "Yes" "No" 705.524569676931
"Negative" 24 "E" "UsedCar" 6419 "Low" "VeryLong" 2 "F:DivSepMar" "None" 4 "None" 44 "None" "RentFree" 2 "Management:Self" 2 "Yes" "Yes" 567.385513751305
"Large" 42 "E" "UsedCar" 4796 "Low" "VeryLong" 4 "M:Single" "None" 4 "None" 56 "None" "RentFree" 1 "Skilled" 1 "No" "Yes" 612.0831710884
"None" 48 "E" "Business" 7629 "Unknown" "VeryLong" 4 "M:DivSepMar" "None" 2 "Car" 46 "Bank" "Own" 2 "Management:Self" 2 "No" "Yes" 536.065790926245
"Small" 48 "C" "Furniture" 9960 "Low" "Short" 1 "F:DivSepMar" "None" 2 "Car" 26 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 517.858812087827
"None" 12 "C" "UsedCar" 4675 "Unknown" "Short" 1 "F:DivSepMar" "None" 4 "Car" 20 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 751.469327013113
"None" 10 "C" "NewCar" 1287 "Unknown" "VeryLong" 4 "M:Single" "Coapp" 2 "Savings" 45 "None" "Own" 1 "Unskilled" 1 "No" "No" 655.93393409984
"None" 18 "C" "Furniture" 2515 "Low" "Medium" 3 "M:Single" "None" 4 "House" 43 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 612.339376265519
"None" 6 "C" "NewCar" 672 "Low" "Unemployed" 1 "F:DivSepMar" "None" 4 "House" 54 "None" "Own" 1 "Unemployed" 1 "Yes" "Yes" 702.055227871127
"Small" 36 "A" "Television" 3804 "Low" "Medium" 4 "F:DivSepMar" "None" 1 "Car" 42 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 498.295687284105
"Negative" 10 "E" "NewCar" 1038 "Low" "Long" 4 "M:Single" "Coapp" 3 "Savings" 49 "None" "Own" 2 "Skilled" 1 "Yes" "Yes" 500.851949876994
"None" 48 "E" "NewCar" 10127 "Large" "Medium" 2 "M:Single" "None" 2 "None" 44 "Bank" "RentFree" 1 "Skilled" 1 "No" "Yes" 519.527775041506
"None" 6 "C" "Furniture" 1543 "VeryLarge" "Medium" 4 "M:DivSepMar" "None" 2 "House" 33 "None" "Own" 1 "Skilled" 1 "No" "Yes" 684.256523222494
"None" 30 "C" "UsedCar" 4811 "Unknown" "Long" 2 "F:DivSepMar" "None" 4 "Savings" 24 "Stores" "Rent" 1 "Unskilled" 1 "No" "Yes" 576.034060121201
"Small" 8 "C" "Furniture" 1237 "Low" "Medium" 3 "F:DivSepMar" "None" 4 "House" 24 "None" "Own" 1 "Skilled" 1 "No" "Yes" 465.820061363303
"Small" 9 "C" "NewCar" 276 "Low" "Medium" 4 "F:Single" "None" 4 "House" 22 "None" "Rent" 1 "Unskilled" 1 "No" "Yes" 490.412064090638
"Small" 48 "C" "Other" 5381 "Unknown" "Unemployed" 3 "M:Single" "None" 4 "None" 40 "Bank" "RentFree" 1 "Unemployed" 1 "Yes" "Yes" 580.159239839866
"None" 24 "C" "Furniture" 5511 "Medium" "Medium" 4 "M:Single" "None" 1 "Car" 25 "Stores" "Own" 1 "Skilled" 1 "No" "Yes" 541.06022376975
"Large" 24 "C" "Furniture" 3749 "Low" "Short" 2 "F:DivSepMar" "None" 4 "Car" 26 "None" "Own" 1 "Skilled" 1 "No" "Yes" 617.577488591472
"Small" 12 "C" "NewCar" 685 "Low" "Long" 2 "F:Single" "None" 3 "Car" 25 "Bank" "Own" 1 "Unskilled" 1 "No" "Yes" 562.130737606531
"Negative" 36 "B" "Furniture" 2746 "Low" "VeryLong" 4 "M:Single" "None" 4 "Car" 31 "Bank" "Own" 1 "Skilled" 1 "No" "Yes" 426.970935988095
"Negative" 12 "C" "Furniture" 708 "Low" "Medium" 2 "M:Single" "Guarantor" 3 "Savings" 38 "None" "Own" 1 "Unskilled" 2 "No" "Yes" 687.440622377247
"None" 12 "E" "Education" 701 "Low" "Medium" 4 "M:Single" "None" 2 "Car" 32 "None" "Own" 2 "Skilled" 1 "No" "Yes" 600.134460901847
"Negative" 15 "D" "Furniture" 3643 "Low" "VeryLong" 1 "F:DivSepMar" "None" 4 "Savings" 27 "None" "Own" 2 "Unskilled" 1 "No" "Yes" 521.774582687266
"Small" 30 "E" "NewCar" 4249 "Low" "Unemployed" 4 "F:Single" "None" 2 "Car" 28 "None" "Own" 2 "Management:Self" 1 "No" "Yes" 466.985347266413
"Negative" 24 "C" "Television" 1938 "Low" "Short" 4 "M:DivSepMar" "None" 3 "Savings" 32 "None" "Own" 1 "Skilled" 1 "No" "Yes" 455.486267556418
"Negative" 24 "C" "UsedCar" 2910 "Low" "Long" 2 "M:Single" "None" 1 "None" 34 "None" "RentFree" 1 "Management:Self" 1 "Yes" "Yes" 751.471691431141
"Negative" 18 "C" "Furniture" 2659 "VeryLarge" "Medium" 4 "M:Single" "None" 2 "Car" 28 "None" "Own" 1 "Skilled" 1 "No" "Yes" 522.987269581476
"Negative" 8 "E" "NewCar" 3398 "Low" "Long" 1 "M:Single" "None" 4 "House" 39 "None" "Own" 2 "Unskilled" 1 "No" "No" 603.806222153176
"None" 12 "E" "Furniture" 5801 "Unknown" "VeryLong" 2 "M:Single" "None" 4 "Savings" 49 "None" "Rent" 1 "Skilled" 1 "Yes" "Yes" 714.877844257093
"None" 24 "C" "NewCar" 1525 "VeryLarge" "Long" 4 "F:DivSepMar" "None" 3 "Car" 34 "None" "Own" 1 "Skilled" 2 "Yes" "Yes" 722.090268465296
"Large" 36 "C" "Television" 4473 "Low" "VeryLong" 4 "M:Single" "None" 2 "Car" 31 "None" "Own" 1 "Skilled" 1 "No" "Yes" 605.283933275586
"Small" 6 "C" "Television" 1068 "Low" "VeryLong" 4 "M:Single" "None" 4 "Car" 28 "None" "Own" 1 "Skilled" 2 "No" "Yes" 661.832231886434
"Negative" 24 "E" "UsedCar" 6615 "Low" "Unemployed" 2 "M:Single" "None" 4 "None" 75 "None" "RentFree" 2 "Management:Self" 1 "Yes" "Yes" 743.480529550689
"None" 18 "E" "Education" 1864 "Medium" "Medium" 4 "F:DivSepMar" "None" 2 "House" 30 "None" "Own" 2 "Skilled" 1 "No" "Yes" 555.097444533728
"Small" 60 "C" "NewCar" 7408 "Medium" "Short" 4 "F:DivSepMar" "None" 2 "Savings" 24 "None" "Own" 1 "Management:Self" 1 "No" "Yes" 401.55355246303
"None" 48 "E" "UsedCar" 11590 "Medium" "Medium" 2 "F:DivSepMar" "None" 4 "Car" 24 "Bank" "Rent" 2 "Unskilled" 1 "No" "Yes" 605.322687973782
"Negative" 24 "A" "Furniture" 4110 "Low" "VeryLong" 3 "M:Single" "None" 4 "None" 23 "Bank" "Rent" 2 "Skilled" 2 "No" "Yes" 412.868336226116
"Negative" 6 "E" "Furniture" 3384 "Low" "Medium" 1 "M:DivSepMar" "None" 4 "House" 44 "None" "Rent" 1 "Management:Self" 1 "Yes" "Yes" 547.511910412305
"Small" 13 "C" "Television" 2101 "Low" "Short" 2 "F:DivSepMar" "Guarantor" 4 "Savings" 23 "None" "Own" 1 "Unskilled" 1 "No" "Yes" 683.617792887615
"Negative" 15 "C" "Domestic" 1275 "Unknown" "Medium" 4 "F:DivSepMar" "None" 2 "Car" 24 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 441.651845954797
"Negative" 24 "C" "Furniture" 4169 "Low" "Medium" 4 "M:Single" "None" 4 "Savings" 28 "None" "Own" 1 "Skilled" 1 "No" "Yes" 559.966019305607
"Small" 10 "C" "Furniture" 1521 "Low" "Medium" 4 "M:DivSepMar" "None" 2 "Car" 31 "None" "Own" 1 "Unskilled" 1 "No" "Yes" 465.830932516175
"Small" 24 "E" "Education" 5743 "Low" "Short" 2 "F:DivSepMar" "None" 4 "None" 24 "None" "RentFree" 2 "Skilled" 1 "Yes" "Yes" 521.524848745716
"Small" 18 "C" "Business" 4439 "Low" "VeryLong" 1 "M:Single" "Coapp" 1 "House" 33 "Bank" "Own" 1 "Management:Self" 1 "Yes" "Yes" 577.864595498029
"None" 15 "E" "Television" 1459 "Low" "Medium" 4 "F:DivSepMar" "None" 2 "Car" 43 "None" "Own" 1 "Unskilled" 1 "No" "Yes" 684.516869602806
"Small" 13 "E" "Television" 882 "Low" "Short" 4 "M:Single" "Guarantor" 4 "House" 23 "None" "Own" 2 "Skilled" 1 "No" "Yes" 628.724524288475
"Small" 24 "C" "Television" 3758 "Large" "Unemployed" 1 "F:DivSepMar" "None" 4 "None" 23 "None" "Rent" 1 "Unemployed" 1 "No" "Yes" 557.010338610412
"Small" 9 "E" "Education" 1136 "VeryLarge" "VeryLong" 4 "M:Single" "None" 3 "None" 32 "None" "RentFree" 2 "Skilled" 2 "No" "Yes" 653.131751066288
"None" 9 "C" "Domestic" 1236 "Low" "Short" 1 "F:DivSepMar" "None" 4 "House" 23 "None" "Rent" 1 "Skilled" 1 "Yes" "Yes" 582.261019238966
"Small" 9 "C" "Furniture" 959 "Low" "Medium" 1 "F:DivSepMar" "None" 2 "Car" 29 "None" "Own" 1 "Skilled" 1 "No" "No" 626.748174640004
"None" 18 "E" "UsedCar" 3229 "Unknown" "Unemployed" 2 "M:Single" "None" 4 "None" 38 "None" "Own" 1 "Management:Self" 1 "Yes" "Yes" 747.410449543591
"None" 10 "C" "Education" 727 "Large" "VeryLong" 4 "M:Single" "None" 4 "None" 46 "None" "RentFree" 1 "Skilled" 1 "Yes" "Yes" 636.021576589443
"None" 12 "C" "Television" 776 "Low" "Medium" 4 "F:Single" "None" 2 "House" 28 "None" "Own" 1 "Skilled" 1 "No" "Yes" 619.763975198231
"Small" 18 "C" "Education" 1239 "Unknown" "Medium" 4 "M:Single" "None" 4 "None" 61 "None" "RentFree" 1 "Skilled" 1 "No" "Yes" 564.648980432532
"Large" 12 "C" "Television" 3399 "Unknown" "VeryLong" 2 "M:Single" "None" 3 "Car" 37 "None" "Own" 1 "Management:Self" 1 "No" "Yes" 672.242120503355
"None" 6 "C" "Furniture" 1766 "Low" "Medium" 1 "F:Single" "None" 2 "Savings" 21 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 619.83256372218
"None" 12 "C" "Business" 1542 "Low" "Long" 2 "M:Single" "None" 4 "Car" 36 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 653.599028381518
"None" 18 "E" "UsedCar" 3850 "Low" "Long" 3 "M:Single" "None" 1 "Car" 27 "None" "Own" 2 "Skilled" 1 "No" "Yes" 797.796767336863
"Negative" 18 "C" "Furniture" 3650 "Low" "Short" 1 "F:DivSepMar" "None" 4 "Car" 22 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 417.060960760233
"Negative" 36 "C" "Furniture" 3446 "Low" "VeryLong" 4 "M:Single" "None" 2 "Car" 42 "None" "Own" 1 "Skilled" 2 "No" "Yes" 400.240185521093
"Small" 18 "C" "Furniture" 3001 "Low" "Long" 2 "F:DivSepMar" "None" 4 "House" 40 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 541.150268997014
"None" 36 "C" "NewCar" 3079 "Unknown" "Medium" 4 "M:Single" "None" 4 "House" 36 "None" "Own" 1 "Skilled" 1 "No" "Yes" 661.178538536056
"None" 18 "E" "Television" 6070 "Low" "VeryLong" 3 "M:Single" "None" 4 "Car" 33 "None" "Own" 2 "Skilled" 1 "Yes" "Yes" 628.182191173743
